Game Id,points,result,attendance,minutes,field_goals_made,field_goals_att,field_goals_pct,three_points_made,three_points_att,three_points_pct,two_points_made,two_points_att,two_points_pct,blocked_att,free_throws_made,free_throws_att,free_throws_pct,offensive_rebounds,defensive_rebounds,assists,steals,blocks,assists_turnover_ratio,personal_fouls,ejections,foulouts,points,fast_break_pts,second_chance_pts,team_turnovers,points_off_turnovers,team_rebounds,flagrant_fouls,player_tech_fouls,team_tech_fouls,coach_tech_fouls,points_in_paint,team_offensive_rebounds,team_defensive_rebounds,total_rebounds,personal_rebounds,player_turnovers,pls_min,effective_fg_pct,bench_points,points_in_paint_att,points_in_paint_made,points_in_paint_pct,true_shooting_att,true_shooting_pct,biggest_lead,fouls_drawn,offensive_fouls,efficiency,efficiency_game_score,defensive_rating,offensive_rating,coach_ejections,points_against,possessions,opponent_possessions,time_leading,defensive_points_per_possession,offensive_points_per_possession,team_fouls,total_fouls,second_chance_att,second_chance_made,second_chance_pct,fast_break_att,fast_break_made,fast_break_pct,home_away,capacity
8fddc7f8-c12d-4158-92e3-fc55e28afdca,86,loss,18306,4:00:00,34,91,37.4,7,35,20.0,27,56,48.2,5,11,18,61.1,15,35,19,4,2,1.36,15,0,0,86,10,11,1,13,8,0,0,0,0,46,6,2,58,50,14,-21,41.2,38,43,23,53.5,98.92,43.5,2,19,2,82,52.8,111.924686192469,86.9389405580267,0,107,98.92,95.6,00:10,1.08,0.87,0,15,12,4,33.3,7,5,71.4,away,18306
b6ab2a8e-1dee-40ff-a18b-525cf3310e52,121,loss,17467,4:00:00,45,93,48.4,12,35,34.3,33,58,56.9,4,19,22,86.4,9,40,25,5,5,2.08,22,0,0,121,2,11,1,9,8,0,0,0,0,58,5,3,57,49,12,-3,54.8,25,50,29,58.0,102.68,58.9,3,22,1,138,96.2,115.070527097253,113.423322084739,0,124,106.68,107.76,00:49,1.16,1.13,0,22,7,4,57.1,8,1,12.5,home,19393
b6ab2a8e-1dee-40ff-a18b-525cf3310e52,124,win,17467,4:00:00,42,92,45.7,17,41,41.5,25,51,49.0,5,23,29,79.3,7,36,24,6,4,2.4,22,0,0,124,20,12,0,18,7,0,0,0,0,46,6,1,50,43,10,3,54.9,31,44,23,52.3,104.76,59.2,18,22,1,130,96.5,113.423322084739,115.070527097253,0,121,107.76,106.68,45:25,1.12,1.15,0,22,10,6,60.0,9,6,66.7,away,19393
926a442f-8c1f-47b4-beff-3185b028af4e,113,win,17162,4:00:00,45,94,47.9,15,35,42.9,30,59,50.8,3,8,9,88.9,6,49,31,8,9,2.38,16,0,0,113,11,8,0,9,4,0,0,0,0,46,2,2,59,55,13,26,55.9,44,35,23,65.7,97.96,57.7,30,21,1,155,100.3,83.8796760509063,107.66006097561,0,87,104.96,103.72,42:11,0.83,1.08,0,16,8,4,50.0,6,4,66.7,home,18118
926a442f-8c1f-47b4-beff-3185b028af4e,87,loss,17162,4:00:00,31,93,33.3,13,43,30.2,18,50,36.0,9,12,13,92.3,10,40,16,7,3,1.07,21,0,0,87,7,2,0,14,4,0,0,0,0,26,2,2,54,50,15,-26,40.3,35,33,13,39.4,98.72,44.1,8,16,4,71,49.8,107.66006097561,83.8796760509063,0,113,103.72,104.96,4:09,1.09,0.84,0,21,8,1,12.5,5,3,60.0,away,18118
2ba60694-3263-4c47-aa49-3980d3e4566f,137,win,19600,4:00:00,51,96,53.1,15,35,42.9,36,61,59.0,0,20,31,64.5,11,47,28,8,2,2.55,26,0,0,137,22,15,0,21,11,0,1,0,0,60,8,3,69,58,11,42,60.9,75,47,30,63.8,109.64,62.5,42,26,3,165,115.2,88.9846384413638,124.954396205764,0,95,109.64,106.76,46:24,0.87,1.25,0,26,12,5,41.7,12,9,75.0,home,19600
2ba60694-3263-4c47-aa49-3980d3e4566f,95,loss,19600,4:00:00,32,84,38.1,12,42,28.6,20,42,47.6,2,19,29,65.5,5,33,19,6,0,1.27,26,0,0,95,2,3,0,5,11,0,1,0,0,38,7,4,49,38,15,-42,45.2,42,30,19,63.3,96.76,49.1,0,26,2,78,52.3,124.954396205764,88.9846384413638,0,137,106.76,109.64,00:00,1.28,0.89,0,26,4,1,25.0,8,1,12.5,away,19600
201e9149-2204-4c61-9ce7-0b5e440560d6,135,win,15407,4:25:00,49,94,52.1,19,38,50.0,30,56,53.6,6,18,19,94.7,6,32,24,5,6,2.67,21,0,0,135,3,2,0,26,6,0,0,0,0,48,3,3,44,38,9,1,62.2,53,41,24,58.5,102.36,65.9,12,22,1,148,110.8,120.938628158845,128.132118451025,0,134,105.36,110.8,27:27,1.27,1.28,0,21,5,0,0.0,1,1,100.0,home,20356
201e9149-2204-4c61-9ce7-0b5e440560d6,134,loss,15407,4:25:00,52,97,53.6,15,34,44.1,37,63,58.7,6,15,20,75.0,7,35,28,5,6,2.33,22,0,0,134,5,16,0,10,10,0,0,1,0,62,8,2,52,42,12,-1,61.3,18,46,31,67.4,105.8,63.3,9,21,3,146,108.3,128.132118451025,120.938628158845,0,135,110.8,105.36,19:50,1.22,1.21,1,23,14,7,50.0,3,2,66.7,away,20356
24b2d362-bcc6-4bbd-acd6-d2f2f706e219,96,loss,18846,4:00:00,33,83,39.8,17,43,39.5,16,40,40.0,4,13,15,86.7,9,37,24,5,3,1.33,18,0,0,96,13,9,1,11,7,0,0,0,0,32,4,3,53,46,18,-25,50.0,31,28,16,57.1,89.6,53.6,3,19,3,101,66.4,120.421974522293,96.3855421686747,0,121,99.6,100.48,1:14,1.21,0.96,0,18,9,3,33.3,12,4,33.3,home,18846
