Game Id,points,result,attendance,minutes,field_goals_made,field_goals_att,field_goals_pct,three_points_made,three_points_att,three_points_pct,two_points_made,two_points_att,two_points_pct,blocked_att,free_throws_made,free_throws_att,free_throws_pct,offensive_rebounds,defensive_rebounds,assists,steals,blocks,assists_turnover_ratio,personal_fouls,ejections,foulouts,points,fast_break_pts,second_chance_pts,team_turnovers,points_off_turnovers,team_rebounds,flagrant_fouls,player_tech_fouls,team_tech_fouls,coach_tech_fouls,points_in_paint,team_offensive_rebounds,team_defensive_rebounds,total_rebounds,personal_rebounds,player_turnovers,pls_min,effective_fg_pct,bench_points,points_in_paint_att,points_in_paint_made,points_in_paint_pct,true_shooting_att,true_shooting_pct,biggest_lead,fouls_drawn,offensive_fouls,efficiency,efficiency_game_score,defensive_rating,offensive_rating,coach_ejections,points_against,possessions,opponent_possessions,time_leading,defensive_points_per_possession,offensive_points_per_possession,team_fouls,total_fouls,second_chance_att,second_chance_made,second_chance_pct,fast_break_att,fast_break_made,fast_break_pct
fb168333-20fe-4bb6-a504-1b77fdc42c02,83,loss,19156,4:00:00,32,82,39.0,11,34,32.4,21,48,43.8,2,8,11,72.7,10,32,19,6,12,0.76,19,0,0,83,9,4,0,9,6,0,1,0,0,32,3,3,48,42,25,-32,45.7,36,39,16,41.0,86.84,47.8,8,13,4,75,48.9,114.724660814046,81.5003927729772,0,115,101.84,100.24,11:03,1.13,0.82,0,19,9,2,22.2,7,4,57.1
ed5b9b25-f608-44a5-bb6e-b99baa43b8b8,124,win,15674,4:00:00,48,95,50.5,17,38,44.7,31,57,54.4,4,11,14,78.6,10,44,29,12,10,1.71,18,0,0,124,17,21,0,21,10,0,0,0,0,58,6,4,64,54,17,33,59.5,47,49,29,59.2,101.16,61.3,35,21,3,161,110.8,83.4556126192223,114.644970414201,0,91,108.16,109.04,47:44,0.84,1.15,0,18,13,9,69.2,13,8,61.5
420a030e-804b-4cc3-83a3-efdd64f2fdbf,102,win,19520,4:00:00,44,86,51.2,9,30,30.0,35,56,62.5,2,5,8,62.5,8,33,26,10,2,1.24,21,0,0,102,17,6,0,10,5,0,0,0,0,58,3,2,46,41,21,6,56.4,30,45,29,64.4,89.52,57.0,11,17,5,109,73.9,93.0593253198914,99.4927818962154,0,96,102.52,103.16,39:05,0.94,0.99,0,21,7,3,42.9,13,7,53.8
a6a8d6ba-2791-4dff-bb49-23538a8b7d10,101,loss,17583,4:00:00,39,99,39.4,8,36,22.2,31,63,49.2,3,15,21,71.4,16,36,20,15,5,1.33,22,0,1,101,18,13,0,23,10,0,0,0,0,54,10,0,62,52,15,-9,43.4,37,53,27,50.9,108.24,46.7,9,17,0,104,75.6,103.656238220882,94.1812756434166,0,110,107.24,106.12,29:28,1.03,0.94,0,22,17,4,23.5,13,8,61.5
c90724b1-b19b-4e5a-ae99-2744f275fbc6,105,loss,18997,4:00:00,34,86,39.5,15,34,44.1,19,52,36.5,2,22,29,75.9,12,34,25,7,3,1.56,26,0,0,105,5,11,0,19,8,1,2,1,1,26,6,2,54,46,16,-10,48.3,37,36,13,36.1,98.76,53.2,7,22,4,103,74.4,111.304684475416,102.179836512262,0,115,102.76,103.32,10:25,1.12,1.02,2,28,11,3,27.3,9,2,22.2
82ba59ca-538a-422a-b0d0-54ce19b6ea82,102,win,17147,4:25:00,38,97,39.2,10,39,25.6,28,58,48.3,2,16,21,76.2,14,41,18,10,5,1.13,18,0,0,102,18,13,0,17,6,1,0,0,0,50,5,1,61,55,16,11,44.3,37,45,25,55.6,106.24,48.0,12,25,7,115,72.3,83.3638695492854,94.2350332594235,0,91,108.24,109.16,33:47,0.84,0.94,0,18,15,6,40.0,14,7,50.0
2f83c30f-7413-4277-b941-5172758779fa,95,loss,19800,4:00:00,34,85,40.0,11,37,29.7,23,48,47.9,6,16,23,69.6,11,38,17,7,6,1.42,23,0,0,95,12,9,0,3,11,0,0,0,0,36,8,3,60,49,12,-8,46.5,13,34,18,52.9,95.12,49.9,14,22,3,97,67.3,108.512431521281,98.8347898460258,0,103,96.12,94.92,29:02,1.07,0.99,0,23,12,3,25.0,12,5,41.7
663964dc-e4e3-48b1-bb34-c853be4bffe6,97,win,18888,4:00:00,35,84,41.7,11,26,42.3,24,58,41.4,8,16,19,84.2,3,39,24,13,11,2.0,17,0,0,97,12,7,1,24,7,1,0,0,0,34,6,1,49,42,12,15,48.2,25,40,17,42.5,92.36,52.5,31,17,1,115,83.5,76.9230769230769,94.7635795232513,0,82,102.36,106.6,39:03,0.8,0.95,0,17,5,3,60.0,6,4,66.7
9de11d8a-fa43-45f2-aa88-87f817ddefa0,134,win,18558,4:00:00,51,94,54.3,21,50,42.0,30,44,68.2,1,11,17,64.7,8,40,24,8,5,2.67,15,0,0,134,21,15,0,15,7,0,1,0,0,50,6,1,55,48,9,29,65.4,56,36,25,69.4,101.48,66.0,37,19,1,163,117.1,102.33918128655,130.757220921155,0,105,102.48,102.6,46:42,1.02,1.31,0,15,9,7,77.8,10,7,70.0
fc3396df-ea57-4f02-a9c3-3ee3d01d44e3,95,loss,17732,4:00:00,38,87,43.7,9,35,25.7,29,52,55.8,5,10,12,83.3,9,35,18,10,8,1.06,19,0,0,95,12,6,0,13,5,0,0,0,0,42,2,3,49,44,17,-16,48.9,27,40,21,52.5,92.28,51.5,10,17,4,100,68.9,106.362591031046,94.7347427203829,0,111,100.28,104.36,21:21,1.11,0.95,0,19,7,3,42.9,9,5,55.6
70717841-e682-4364-873b-b6a066d61989,104,loss,16273,4:00:00,37,100,37.0,13,48,27.1,24,52,46.2,4,17,25,68.0,16,36,20,8,8,1.67,21,0,1,104,8,14,0,11,12,1,0,0,0,46,7,5,64,52,12,-6,43.5,34,40,23,57.5,111.0,46.8,13,25,2,109,74.8,103.812759531899,97.196261682243,0,110,107.0,105.96,22:44,1.03,0.97,0,21,16,6,37.5,8,3,37.5
a8a20e99-8992-43a6-abf9-5d87bec497b6,103,loss,14256,4:00:00,40,84,47.6,8,31,25.8,32,53,60.4,9,15,19,78.9,6,36,24,9,4,2.18,17,0,0,103,6,10,0,14,5,0,0,1,0,54,5,0,47,42,11,-12,52.4,28,43,27,62.8,92.36,55.8,0,17,1,114,84.4,118.801652892562,105.792933442892,0,115,97.36,96.8,00:00,1.18,1.06,1,18,5,4,80.0,4,3,75.0
ecaa748b-52fd-45c4-8cea-fea6d66ed272,121,win,18997,4:00:00,45,84,53.6,16,30,53.3,29,54,53.7,4,15,22,68.2,9,27,29,10,12,1.71,14,0,0,121,15,9,0,20,11,0,0,1,0,52,6,5,47,36,17,3,63.1,48,43,26,60.5,93.68,64.6,12,20,0,147,107.9,110.362888140666,119.000786782061,0,118,101.68,106.92,27:53,1.16,1.19,1,15,6,4,66.7,7,6,85.7
a74770d4-eac6-42e6-b5c1-c3901b2aefce,109,loss,10339,4:00:00,40,90,44.4,14,36,38.9,26,54,48.1,6,15,17,88.2,12,35,23,6,1,1.21,24,0,0,109,6,6,0,6,8,0,1,1,1,34,4,4,55,47,19,-10,52.2,28,36,17,47.2,97.48,55.9,5,19,3,103,74.3,112.646724725483,104.326186830015,0,119,104.48,105.64,7:33,1.14,1.04,2,26,9,3,33.3,6,2,33.3
cd6b77dc-ca3a-4de4-8b09-d450cdfdcef1,129,loss,17238,4:25:00,46,103,44.7,19,44,43.2,27,59,45.8,9,18,28,64.3,14,38,26,4,6,1.86,25,0,1,129,15,12,0,19,10,1,0,1,0,50,8,2,62,52,14,-11,53.9,33,52,25,48.1,115.32,55.9,12,23,3,125,94.9,123.893805309734,111.862643080125,0,140,115.32,113.0,32:56,1.21,1.12,1,26,12,3,25.0,16,6,37.5
2fb73498-a4d9-4bd1-aaa9-9c87fcab3bc5,122,win,14209,4:00:00,46,90,51.1,12,32,37.5,34,58,58.6,6,18,21,85.7,10,39,24,11,3,1.85,19,0,0,122,12,13,3,22,9,0,0,0,0,52,7,2,58,49,13,18,57.8,36,42,26,61.9,99.24,61.5,23,15,2,139,104.2,102.040816326531,115.925503610794,0,104,105.24,101.92,46:57,0.99,1.16,0,19,10,5,50.0,10,6,60.0
73f35a95-55e2-41be-94db-3486c7caceca,108,loss,19800,4:00:00,40,83,48.2,12,30,40.0,28,53,52.8,3,16,20,80.0,13,34,27,8,1,1.42,18,0,0,108,18,9,2,12,10,0,1,0,0,48,8,2,57,47,19,-3,55.4,29,45,24,53.3,91.8,58.8,5,16,0,119,85.0,112.484799351439,108.216432865731,0,111,99.8,98.68,6:55,1.11,1.08,0,18,11,3,27.3,13,8,61.5
ad884ffb-69d4-4bfa-b21a-0544e4367f95,98,loss,14435,4:00:00,31,90,34.4,15,50,30.0,16,40,40.0,5,21,27,77.8,11,30,20,10,7,1.82,19,0,0,98,14,19,0,23,9,0,2,1,1,30,6,3,50,41,11,-9,42.8,25,33,15,45.5,101.88,48.1,3,20,2,94,72.0,104.778691735213,96.1915979583824,0,107,101.88,102.12,4:19,1.05,0.96,2,21,8,5,62.5,14,6,42.9
